poiid,title,address,lon,lat,city,category_sec,DaLei,Power
B2094455DB6DA5F9489F,狮子坪,河北省 石家庄市 平山县,113.77942,38.2003,0311,出行住宿,商业服务业设施用地,4
B2094450D16FA5F4419D,狮子坪,河北省 石家庄市 石家庄平山县,113.79833,38.19908,0311,出行住宿,商业服务业设施用地,4
B2094757D765A0FD4192,聚贤酒家,辛集市小辛庄(近东方漂染厂),115.254791,38.094461,0311,四川菜,商业服务业设施用地,2
B2094750DA6BAAFE479D,小辛庄,小辛庄,115.263191,38.09494,0311,一般地点标志,未知,0
B209475DD16EA7F94992,小舟村,河北省辛集市位伯镇小舟村迎宾路,115.220603,38.067584,0311,一般地点标志,未知,0
B2094454D169A7F5479B,火星,河北省 石家庄市 火星1号,115.31168,38.16253,0311,一般地点标志,未知,0
B2094454D769A4FD4399,石家庄  辛集,河北省 石家庄市 西柳科,115.24203,38.0376,0311,一般地点标志,未知,0
B2094455DA6AA4FC489D,公主坟,河北省 石家庄市 北京市海淀区公主坟翠微路,115.33325,38.15043,0311,购物服务,商业服务业设施用地,20
B2094455DB6EA1F8489B,北京,河北省 石家庄市 海淀区,115.25549,38.09267,0311,一般地点标志,未知,0
B2094455DB65AAFC4292,甘肃,河北省 石家庄市 环定区668号,115.30477,38.04986,0311,公园户外,绿地与广场用地,60
B2094457D068A6F84698,上海,河北省 石家庄市 环福新区,115.32785,38.00584,0311,公司,工业用地,40
B2094457D169A0FC469F,石家庄市,河北省 石家庄市 长安区,115.2583,38.07139,0311,生活娱乐,商业服务业设施用地,4
B2094457D169A7FD4299,石家庄市,河北省 石家庄市 裕华区,115.25823,38.0711,0311,公园户外,绿地与广场用地,60
B2094450D365AAF5469D,北京,河北省 石家庄市 昌平区,115.2671,38.15195,0311,公园户外,绿地与广场用地,60
B2094450D06DA4FD4092,儿时记忆,河北省 石家庄市 姥姥家,115.33542,38.006,0311,一般地点标志,未知,0
B2094450D064A5FF439C,石家庄市,河北省 石家庄市 空中花园,115.32991,38.15098,0311,公园户外,绿地与广场用地,60
B2094450D065A4F94799,心灵港湾,河北省 石家庄市 家,115.22678,38.12163,0311,一般地点标志,未知,0
B2094450D16DA2FF449F,招代理,河北省 石家庄市 河北石家庄,115.21644,38.08266,0311,校园生活,公共管理与公共服务设施用地,50
B2094450D168A6F44699,你是我遥不可及的梦,河北省 石家庄市 过不去还是会过去,115.21045,38.07255,0311,一般地点标志,未知,0
B2094450D66CA0FC4698,微信xuejiao9311,河北省 石家庄市 河北,115.26158,38.09399,0311,公园户外,绿地与广场用地,60
B2094450D66CA0FC489C,微信xuejiao9311,河北省 石家庄市 河北,115.2714,38.09325,0311,公园户外,绿地与广场用地,60
B2094450D669A1F84199,辛集市张古庄镇,河北省 石家庄市 北口营村,115.30974,38.08339,0311,一般地点标志,未知,0
B2094450D669A1F8409C,辛集市张古庄镇,河北省 石家庄市 北口营村,115.30974,38.08339,0311,一般地点标志,未知,0
B2094450D669A4FA489B,营里村,河北省 石家庄市 河北省深泽县营里村,115.25849,38.1568,0311,出行住宿,商业服务业设施用地,4
B2094450D66BAAF54093,不是谁是谁的谁,河北省 石家庄市 不是谁是谁的谁,115.21054,38.07248,0311,一般地点标志,未知,0
B2094450D665A4FA419F,西陈位,河北省 石家庄市 辛集市西陈位,115.30484,38.02993,0311,一般地点标志,未知,0
B2094454D168A2FA469F,就这么懒着,河北省 石家庄市 就这么懒着,115.38111,38.02597,0311,一般地点标志,未知,0
B2094656D368A0F94998,清凉山风景区,贾庄镇小峪村,114.01242,38.1003,0311,公园户外,绿地与广场用地,60
