OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster,Ndist
9328,B2094751DB6DA6F9479F,四川快餐,裕华区裕东菜市场西门口,114.56041,38.03367,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9329,B2094751DB6DA4F44398,碱面包子,新华区裕东菜市场,114.56041,38.03367,311,餐饮美食,0,0,餐饮,其它,0,0.0
9330,B2094753D26BAAFC409C,八马茶业旗舰店,石家庄市新华路343号,114.46850538,38.04809952,311,餐饮美食,2,2,餐饮,其它,0,81.45732242328954
9331,B2094751D36CA6F94699,魔锅坊麻辣香锅(农机街店),新华区农机街(近蒙娜丽莎夜总会),114.49748,38.07493,311,四川菜,1,1,餐饮,中式餐饮,0,7.571460507670672
9332,B2094751D36CABF8489C,九月天(新源乐汇城店),桥东区中山西路11号新源乐汇城内(近南三条批发市场),114.5695,38.14192,311,湖南菜,0,0,餐饮,中式餐饮,0,0.0
9333,B2094751D36DABFD439A,刘辣子,裕华区谈固东街(近东岗路),114.57139,38.00342,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9334,B2094751D36DAAF8499B,大胖涮坊,新华区中华北大街(近自强路),114.47785,38.06769,311,火锅店,3,3,餐饮,中式餐饮,0,0.55597463329915
9335,B2094751D36EA6FD4692,皇家大厨,裕华区雅清街29号,114.56697,38.01114,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9336,B2094751D36EA5FE4299,快乐时光,桥东区中山西路11号新源乐汇城4楼(近南三条批发市场),114.5695,38.14192,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9337,B2094751D36EA4F8409D,沙县小吃,新华区赵陵路(北郡B区规划路口),114.47863,38.07294,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9338,B2094751DB64ABF84992,东兴冷批(青园街店),裕华区青园街青园小区门口,114.5182,38.01699,311,甜品店,0,0,餐饮,甜点饮品,0,3.767964711448806
9339,B2094751DB64ABFA409C,雀巢冰淇淋(日升冷批店),新华区翟营大街裕东市场中段,114.5546,38.03439,311,甜品店,0,0,餐饮,甜点饮品,0,42.63883843676196
9340,B2094751DB64ABFA4692,雀巢冰淇淋(影乐宫商店),桥东区中山路影乐宫(近栗康街),114.509,38.0437,311,甜品店,0,0,餐饮,甜点饮品,0,15.567289730961553
9341,B2094751DB64ABF4479C,聚风园,桥东区石纺路(银都花园东侧),114.50805,38.07721,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9342,B2094751DB65A3F84693,辣博士巴适麻辣虾,长安区翟营大街(跃进路口),114.55401,38.05005,311,火锅店,0,0,餐饮,中式餐饮,0,35.07839335567019
9343,B2094751D36FA0FD4293,85度C(新源乐汇城店),桥东区中山西路11号新源乐汇城1楼W04号(近南三条批发市场),114.5695,38.14192,311,甜品店,0,0,餐饮,甜点饮品,0,0.0
9344,B2094751D36FA4FE4198,军兴宾馆中餐厅,长安区石政路二六零医院对面(近休干所),114.51661,38.08307,311,河北菜,1,0,餐饮,中式餐饮,0,29.913183431678032
9345,B2094751D368A5F44293,新辣道(新源乐汇城店),桥东区中山西路11号新源乐汇城内(近南三条批发市场),114.5695,38.14192,311,火锅店,1,1,餐饮,中式餐饮,0,0.0
9346,B2094751D36AA4FE4498,桥头火锅,近郊正定县燕赵大街(恒山路口北侧),114.57259,38.16567,311,火锅店,0,0,餐饮,中式餐饮,0,701.1232420238974
9347,B2094751D36AAAFA479C,王家老灶,长安区胜利北大街(近北外环),114.5213,38.09221,311,东北菜,1,1,餐饮,中式餐饮,0,0.0
