poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
B2094656D36AAAF94092,春生茶楼,,114.50617,38.03787,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36AAAF9439B,渝府干锅鸭,,114.50871,38.03805,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36AAAF8429F,川菜苑(休门街),,114.50662,38.02597,0311,四川菜,179,0,餐饮,中式餐饮,0
B2094656D36AAAF84398,马记锅贴,槐中路102,114.50627,38.028,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAF8479C,董记煎饼(休门街),,114.50679,38.03213,0311,餐饮美食,167,0,餐饮,其它,0
B2094656D36AAAF8409D,天津盛阳春蒸包休门店,,114.50657,38.02749,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF8429A,正宗符篱集香鸡老店一分店,,114.50662,38.02635,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF9479A,正阳大盘鸡,,114.51065,38.03802,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAF9479F,飘香麻辣烫,,114.51136,38.03837,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAF9489C,正定马家老鸡店,,114.50896,38.03836,0311,餐饮美食,2,0,餐饮,其它,0
B2094656D36AAAFA4098,陈燕煎饼,,114.5083,38.03836,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAFA4092,比洋汉堡,,114.508,38.03839,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36AAAFA419C,成渝川菜坊,,114.50681,38.03839,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36AAAFA429F,吉祥水饺惠中店,,114.50656,38.04264,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAFA429C,韩红烤翅,桥东区中山东路(近原惠中商场),114.5066,38.04271,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAFA459F,满族蒸饺,,114.5083,38.04297,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAFA499C,诚记腊汁肉白吉馍石家庄市第二分店,,114.51152,38.03938,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36AAAFB499C,川菜炝锅鱼,,114.50992,38.03185,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36AAAF44498,百岁老妈,,114.50977,38.03152,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36AAAF5419A,嗲嗲兔头,,114.51187,38.02739,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36AAAF54393,紫林阁茶楼,,114.51198,38.02266,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36AAAF5449D,飘香饼子屋,,114.5063,38.02236,0311,中餐厅,1,0,餐饮,中式餐饮,0
B2094656D36AAAF54493,麦芝力,,114.50612,38.02238,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36AAAFB459D,燕山馋嘴鸭,,114.51162,38.03362,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FC489E,西北正宗兰州牛肉拉面,,114.50789,38.04402,0311,西北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD419C,林海烧烤店,,114.50951,38.04631,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD429B,一品鲜饺子炖菜馆,,114.51132,38.04652,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD4298,川味小吃(正东路),,114.51122,38.04652,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA3FD429E,野山椒麻辣烫,,114.51111,38.04651,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD429F,老二烧烤(正东路),,114.51102,38.04651,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD429D,刘氏手擀面,,114.51091,38.04655,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD4398,张胖饭店铁锅炖肉,,114.51049,38.04654,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD4399,盛记呱呱叫总店,,114.51035,38.04655,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FD439E,福临家常菜,,114.51031,38.04656,0311,中餐厅,0,0,餐饮,中式餐饮,0
