OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,C1km,C2km,C3km
2011,B2094750D569AAFA4892,盛景御花园,裕华西路与时光街交叉口南侧,114.427331,38.033543,311,住宅区,0,0,小区,66,364,818
2012,B2094656D365A3F84992,石家庄矿山机械研究所宿舍,裕华西路123,114.43997,38.03549,311,住宅区,96,31,小区,227,704,1154
2013,B2094656D365A2FA469C,西三庄供销社宿舍,,114.4457,38.07776,311,住宅区,1,0,小区,90,301,749
2014,B209475DD46EABFA429D,石家庄九鼎星园社区,,114.50249,38.01813,311,住宅区,0,0,小区,240,655,2176
2015,B209475DD46EABFA429E,石家庄静和园社区,,114.53348,38.06081,311,住宅区,0,0,小区,48,685,2032
2016,B209475DD46EABF94792,石家庄天水丽城社区,,114.43106,38.02355,311,住宅区,1,1,小区,61,362,852
2017,B209475DD46EABF9479C,石家庄华基君程社区,,114.50163,38.02299,311,住宅区,0,1,小区,232,832,2684
2018,B209475DD46EABF94799,石家庄怡静苑社区,,114.47651,38.0199,311,住宅区,0,0,小区,163,675,1930
2019,B209475DD46EABF9469A,石家庄鑫润名居社区,,114.4808,38.0519,311,住宅区,0,0,小区,507,1384,2789
2020,B209475DD46EABF9459C,石家庄正元小区社区,,114.484,38.0662,311,住宅区,0,0,小区,183,868,2105
2021,B2094656D365A0F84398,新华区教育局宿舍,北新街152,114.48519,38.06525,311,住宅区,1,0,小区,171,886,2243
2022,B2094656D365A0F8459A,石家庄市郊区电力局生活区,,114.49188,38.07349,311,住宅区,0,0,小区,151,561,1520
2023,B2094656D365A7FF409B,石家庄市土畜产总公司宿舍,西里大街46,114.45626,38.04005,311,住宅区,3,0,小区,200,1006,2254
2024,B2094656D365A7F5439E,第二制药厂宿舍,工农路262,114.46716,38.03153,311,住宅区,0,0,小区,185,1136,2316
2025,B2094656D365A5FD4992,新苑小区南区(西门),誉兴街5,114.47434,38.09001,311,住宅区,9,0,小区,86,330,683
2026,B2094656D365A5FE409B,汽车运输公司六队宿舍(北门),,114.49633,38.0719,311,住宅区,1,1,小区,133,607,1577
2027,B2094656D365A5FF489C,供电局宿舍(西门),,114.50464,38.06454,311,住宅区,0,0,小区,172,810,2517
2028,B2094656D365A4FE409F,滨湖四栋,滨华路37,114.46891,38.0694,311,住宅区,3,1,小区,214,783,1630
2029,B2094656D365A4FF409B,农行西郊办事处宿舍,裕华西路148,114.44609,38.03412,311,住宅区,0,0,小区,291,781,1441
2030,B2094656D365ABFC499D,九星阁(南门),东平路5,114.49853,38.01791,311,住宅区,4,2,小区,172,609,1986
2031,B2094656D365ABFD429D,市电信局小区(东门),中华北大街74,114.47694,38.04941,311,住宅区,0,0,小区,555,1401,2640
2032,B2094656D365ABFD4492,人民商场宿舍(北门),,114.48256,38.0716,311,住宅区,0,0,小区,207,702,1665
2033,B2094656D365ABFD4592,颐馨园(西门),胜利北街185,114.50566,38.06593,311,住宅区,0,0,小区,177,758,2257
2034,B2094656D365ABFD479A,正元家具公司宿舍(东门),,114.4853,38.06245,311,住宅区,1,1,小区,180,1010,2523
2035,B2094656D365ABFE4198,市啤酒厂小区(东门),红星街20号,114.49288,38.07931,311,住宅区,3,3,小区,135,483,1174
2036,B2094656D365ABFE419D,吴兴花园(南门),联盟路3,114.49478,38.07863,311,住宅区,12,12,小区,136,495,1205
2037,B2094656D365ABFE4299,运河桥生活小区(南门),,114.51512,38.07658,311,住宅区,1,0,小区,187,489,1018
2038,B2094656D365ABFE469B,省医科院宿舍(南门),,114.52656,38.03223,311,住宅区,0,0,小区,367,1745,3462
2039,B2094656D365A4F94999,雅园,,114.51149,38.03131,311,住宅区,7,3,小区,376,1741,3220
