OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1101,B209475CD36FABFD4799,郝家舅舅味一绝,珠峰大街(闽江道口西北角),114.602590000000006,38.032840000000000,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1102,B209475CD36FABFE4399,派乐汉堡,元氏县商业街坊,114.655799999999999,38.063450000000003,311,西餐厅,0,0,餐饮,国际餐饮,0
1103,B209475CD369A5FA459A,合味轩,天山大街(近立一中门口),114.608829999999998,38.034109999999998,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1104,B209475CD36EA7F94693,竹荪鹅火锅寨,秦皇岛,114.599999999999994,38.041240000000002,311,火锅店,0,0,餐饮,中式餐饮,0
1105,B209475CD36EA4FD4393,新东方商务酒店新港咖啡厅,黄河大道与天山大街交叉口东行200米路北(近28路留村车站),114.619540000000001,38.044789999999999,311,咖啡厅,0,0,餐饮,甜点饮品,0
1106,B209475CD36EA4FD499B,梅湘缘土豆粉,良村开发区(近卓达),114.671689999999998,38.040080000000003,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1107,B209475CD36EA4FE4392,新东方商务酒店中餐厅,黄河大道与天山大街交叉口东行200米路北(近车留村站),114.619540000000001,38.044789999999999,311,河北菜,0,0,餐饮,中式餐饮,0
1108,B2094753D66FA0FE4393,云之滇云南原生态火锅,湘江道石家庄学院对面,114.606199000000004,38.033321000000001,311,火锅店,0,0,餐饮,中式餐饮,0
1109,B2094757D76FAAFC4899,味美奇西点,裕华区天山大街118号(近天山海世界),114.608360000000005,38.037630000000000,311,甜品店,0,0,餐饮,甜点饮品,0
1110,B2094757D76FAAFD439E,新东方渔港,裕华区黄河大道与天山大街交叉口东200米新东方商务酒店(近留村),114.619540000000001,38.044789999999999,311,广东菜,0,0,餐饮,中式餐饮,0
1111,B2094757D768A1FA4299,雕刻年华 长江大道店,桥东区长江大道6号(师专南门对面),114.603989999999996,38.036619999999999,311,快餐厅,0,0,餐饮,小吃快餐,0
1112,B2094757D768A6FA419A,香辣虾,珠峰大街(近周通村),114.602620000000002,38.029670000000003,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1113,B2094757D76AA3FE469C,黑胖子西式快餐店,桥西区珠峰大街与槐安路交叉口向北500米路东(近珠峰国际花园),114.602620000000002,38.029670000000003,311,快餐厅,0,0,餐饮,小吃快餐,0
1114,B2094757D76AA0F44898,巴山蜀水风味酒楼 大街路店,裕华区珠峰大街路(珠峰国际对面),114.602649999999997,38.029850000000003,311,四川菜,0,0,餐饮,中式餐饮,0
1115,B2094757D76AA7FD459F,新派田园山黄鸡火锅,裕华区珠峰大街(闽江道口),114.602620000000002,38.029670000000003,311,火锅店,0,0,餐饮,中式餐饮,0
1116,B2094757D76AA7FD489C,老城里鼓楼二姑包子,桥东区开发区,114.683509999999998,38.038719999999998,311,快餐厅,0,0,餐饮,小吃快餐,0
1117,B2094757D76AA6F94298,家常小抄,朝霞街(近彩票摊),114.634011099999995,38.026220600000002,311,中餐厅,0,0,餐饮,中式餐饮,0
1118,B2094757D76BA5FD419D,阿利茄汁面,中山路(青园街口),114.684619999999995,38.073940000000000,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1119,B2094757D76BA5FD429A,天津二姑包子 天山大街店,裕华区天山大街(近私立一中),114.608530000000002,38.034900000000000,311,快餐厅,0,0,餐饮,小吃快餐,0
1120,B2094757D765A5F9469C,牛一锅涮肉坊,裕华区闽江道水榭花都63-66号,114.599220000000003,38.028179999999999,311,火锅店,0,0,餐饮,中式餐饮,0
