OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1296,B2094757D16AA7F44093,国瑞园,建设北大街与胜利北大街南200米路西,114.510907649999993,38.069503292999997,311,住宅区,757,311,小区
1297,B2094656D06CA2FB499D,银龙小区,东二环与跃进路交叉口,114.577550000000002,38.050500000000000,311,住宅区,850,337,小区
1298,B2094656D36BA5FF469C,国际城(槐北路),槐北路416,114.564430000000002,38.031520000000000,311,住宅区,419,199,小区
1299,B2094656D36BA7FA4993,雅清苑,塔南路200号,114.569119999999998,38.005470000000003,311,住宅区,1202,357,小区
1300,B2094656D365A1FD449F,建明小区(谈固南大街),,114.562470000000005,38.038010000000000,311,住宅区,410,159,小区
1301,B2094757D56FA1FA459A,北城国际(南区),中国河北省石家庄市区丰收路,114.519070909999996,38.071700579999998,311,住宅区,2912,1641,小区
1302,B2094656D365ABFF499E,尚东绿洲,谈固大街东岗路,114.566389999999998,38.014890000000001,311,住宅区,1069,473,小区
1303,B2094656D36BA7FB419A,卓达书香园(塔南路),,114.559629999999999,38.006580000000000,311,住宅区,1455,630,小区
1304,B2094656D06CA2F9419D,安苑小区,方兴路77号,114.567260000000005,37.990189999999998,311,住宅区,476,192,小区
1305,B2094656D365A4F4489C,瑞国花园(北门),,114.557109999999994,38.054220000000001,311,住宅区,138,43,小区
1306,B2094656D365A0FB419E,银通小区(谈固东街),谈固东街132,114.570369999999997,38.028640000000003,311,住宅区,200,88,小区
1307,B2094656D364A3FE469C,华宸怡园,中山东路666,114.584059999999994,38.043210000000002,311,住宅区,932,343,小区
1308,B2094656D364ABFE489C,金马小区(谈固南大街),谈固南大街224号,114.563140000000004,38.027650000000001,311,住宅区,590,166,小区
1309,B2094656D365A2FA4393,国际名邸,石家庄胜利北大街和光华路交汇处,114.561909999999997,38.036070000000002,311,住宅区,645,272,小区
1310,B2094656D364ABFF419B,谈固新村(中山东路),中山东路600,114.575080000000000,38.043819999999997,311,住宅区,503,161,小区
